trucks_count 10
drones_count 4
customers 200
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
5448.011481018727    -6188.190029721837   1        0.05                
-1449.08426805474    -11243.35730564681   1        0.05                
9460.863817874346    4716.8421205489385   1        0.05                
8363.822084234376    838.2003719468886    1        0.05                
9009.35080244729     11818.458855317898   1        0.05                
965.838447765903     -6060.773766693165   1        0.05                
-196.65485895306944  5400.13992181629     1        0.05                
-5301.071508875632   -5497.185403135699   1        0.05                
-8241.89747459654    -7368.218152222233   1        0.05                
-4603.418418675287   -5508.9245817238025  1        0.05                
-8722.320955640083   1036.3501018605502   1        0.05                
-4072.637362652211   -9777.071775619168   1        0.05                
-3889.139214416249   8730.106474147575    1        0.05                
8537.778689803177    -4252.851220897359   1        0.05                
2496.708710935939    -11005.870579178005  1        0.05                
-41.783213752957806  -8005.598261826286   1        0.05                
6211.708453960037    -2771.856447418207   1        0.05                
-8486.69706441785    -3751.543547769686   1        0.05                
9305.707583554586    -7028.896614922759   1        0.05                
-10990.941434611266  7988.96690905509     1        0.05                
2068.559514776255    -11106.065238997708  1        0.05                
-7431.860166722616   3575.933154381403    1        0.05                
-7634.956159095623   -9882.631045674907   1        0.05                
4657.207093344189    -10700.104710170925  1        0.05                
-8470.411437248435   -10131.889831584533  1        0.05                
8865.870038677334    7656.146200440103    1        0.05                
-7251.867917029656   3839.705503233831    1        0.05                
-5407.699682549328   -2263.704630608851   1        0.05                
8029.668678497431    10958.731952421334   1        0.05                
-11875.125194603186  -3970.6163626859307  1        0.05                
-5496.522198838458   -11885.987221357644  1        0.05                
8363.90474950107     11232.120004793793   1        0.05                
-10383.746454590208  -8959.95192006299    1        0.05                
-7836.641322238728   -989.9458154431136   1        0.05                
8353.283661827943    -1820.7450469757032  1        0.05                
5849.299649862007    6584.116757091816    1        0.05                
9987.83262108857     -11272.370703619152  1        0.05                
3339.7265779293284   7828.354125579877    1        0.05                
6496.3049773531475   7898.67670953581     1        0.05                
-9423.858908494447   -6373.431494846088   1        0.05                
4569.26839193382     2615.6585960858674   1        0.05                
-10537.580431888411  -4915.279390121278   1        0.05                
10266.953825248285   -10637.637454405005  1        0.05                
