trucks_count 4
drones_count 4
customers 100
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
3682.4567823402076   -3064.1522953955987  1        0.05                
-280.0214870516194   -276.97906848149114  1        0.05                
184.75260927184524   5491.7165861325075   1        0.05                
2985.8217153395904   1949.3930669112926   1        0.05                
-1059.9235586710981  -1873.936640427862   1        0.05                
6310.666365035005    -6129.794653675603   1        0.05                
-7116.587503212428   -6210.975501967191   1        0.05                
4341.835973231555    -7926.15901707193    1        0.05                
5000.42151171583     1142.161147598522    1        0.05                
3662.135008450676    6060.329352392345    1        0.05                
-7683.243995138027   2954.485837091592    1        0.05                
-4619.086138916766   -6904.68341541858    1        0.05                
6172.608341492992    1124.7590904710405   1        0.05                
-3798.3505042376446  -3063.170469513998   1        0.05                
-7230.110446853199   7727.436864857937    1        0.05                
-5419.691816280148   3789.098050250428    1        0.05                
6035.183093249282    250.21610423637924   1        0.05                
-3333.084599592911   2371.644872655524    1        0.05                
-475.0267158621786   -8038.332394720507   1        0.05                
597.9034772170762    -1281.1830351980102  1        0.05                
-6443.610362187074   2222.589936064469    1        0.05                
5317.953099700619    -2157.3350954636803  1        0.05                
1550.8676452957861   5259.2818775830465   1        0.05                
3199.4072747599134   602.2407171139881    1        0.05                
4831.867576628966    4313.868207958005    1        0.05                
6311.073259686579    3772.1255847540315   1        0.05                
-4446.64559559334    -4131.428137219364   1        0.05                
-722.4140803949575   -4673.646066290966   1        0.05                
-1194.7247630507288  -5000.830670132265   1        0.05                
5375.053641731417    5350.849504185715    1        0.05                
5059.039652207048    7255.020753085811    1        0.05                
5916.857035569115    3433.034991628016    1        0.05                
5633.742555947207    -2579.584679398559   1        0.05                
4182.421427546156    669.6338623272269    1        0.05                
6019.22931976611     6095.720894196827    1        0.05                
-1917.0655416380346  -5745.972269551358   1        0.05                
-7524.152021596548   5791.175697190458    1        0.05                
-70.4672108220129    -7916.317256483175   1        0.05                
-7711.9154751604565  -6520.083107044503   1        0.05                
4291.822390325001    4796.711840699019    1        0.05                
1924.4266821785875   -183.21912605358958  1        0.05                
2078.7601357218196   -6769.612589924674   1        0.05                
-4099.045770813001   5027.368054838511    1        0.05                
-1843.3348664509588  4718.766772743786    1        0.05                
7861.901618205084    -3103.79025249003    1        0.05                
-6157.521476515543   -4626.449344507884   1        0.05                
5825.9848471374125   7971.231230427808    1        0.05                
-3805.8520351198854  -1759.5675964175002  1        0.05                
-4319.753642113274   5311.844873107101    1        0.05                
7389.554227230712    -2318.8405856619233  1        0.05                
2449.906925307409    -7066.632691700302   1        0.05                
-211.04952822984245  892.8668212758065    1        0.05                
1324.473392931282    -892.3988926337456   1        0.05                
-1046.9615298591393  -3170.398567775634   1        0.05                
3190.899972619348    -5149.0340414001275  1        0.05                
-1422.8494496049884  -4290.301291009288   1        0.05                
4552.547288090548    3169.1251996879055   1        0.05                
-1405.6405221155399  -7738.770766753285   1        0.05                
-1461.966597768924   2820.993063795803    1        0.05                
-4984.9152984171305  5655.677566104685    1        0.05                
6326.4295214026515   6871.565013209502    1        0.05                
-4504.878629922064   -951.4294544209436   1        0.05                
-4221.8136568036525  -7783.241201781497   1        0.05                
-6193.243888714159   657.9180493081982    1        0.05                
-7393.651343037577   4022.8106535641423   1        0.05                
1345.0001768068278   -4055.117092981839   1        0.05                
1429.743324226607    6656.307915160957    1        0.05                
-3576.701450758713   1341.2421507660515   1        0.05                
1809.1964497456786   6214.908344769173    1        0.05                
-5902.151388985467   -6304.842873218929   1        0.05                
-1290.0318922475894  -7905.271715337541   1        0.05                
-7332.209309909916   1272.715975897855    1        0.05                
-1796.8452014003894  5443.542136132617    1        0.05                
7637.096287283304    6346.663968012154    1        0.05                
-7543.644445620694   2636.2840369531      1        0.05                
5612.3233749604915   5443.284358217306    1        0.05                
-6192.954246437135   6696.089075720546    1        0.05                
5248.95821686106     -2020.6507930777384  1        0.05                
801.4582802985224    -2463.5332832262047  1        0.05                
4833.219693612438    -87.60064564044025   1        0.05                
-7680.687149027566   -6285.6553870542075  1        0.05                
-4434.658852816084   6023.573351499581    1        0.05                
1647.894462626613    -6169.529196453876   1        0.05                
1765.7058487542529   5502.947055788088    1        0.05                
4524.326701952002    -3087.380450765206   1        0.05                
-3311.844700079665   -1403.3009825784236  1        0.05                
2924.22971826887     3272.3860433659806   1        0.05                
-2736.662281355993   -1714.4312396896487  1        0.05                
-1617.8802496060487  -2089.8913433221333  1        0.05                
1382.3268312351981   4987.4212848661655   1        0.05                
3267.4370131771857   3032.8151060884093   1        0.05                
-1376.9261147229533  -5419.720019347751   1        0.05                
1062.449121288384    592.2265281713844    1        0.05                
-335.58574828658647  -3747.6509301311494  1        0.05                
-3980.764558661387   -3518.1895476602617  1        0.05                
1468.9077182029935   2747.4833332206804   1        0.05                
6915.083122907817    3159.822289853768    1        0.05                
2459.924129641328    6773.526598854934    1        0.05                
-7603.794644514038   -4923.569229827439   1        0.05                
-7179.051677967578   -5344.3212156958025  1        0.05                
