trucks_count 10
drones_count 10
customers 500
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
-0.279062            -0.227019            1        43.411108           
-1.882467            -2.536936            1        1.613612            
-0.125222            2.492859             1        0.228098            
-0.394627            3.815738             1        0.936688            
4.196649             -3.528247            1        0.352091            
2.864888             1.478549             1        0.466139            
-0.039832            -2.5342              1        1.413261            
3.783665             3.352777             1        1.538679            
1.852022             -0.13356             1        0.618002            
1.414169             -3.949249            1        0.863822            
-0.702009            -1.262689            1        1.055822            
4.229426             4.337375             1        0.446301            
3.566754             -0.685746            1        1.371572            
0.879701             2.128161             1        1.6421              
-3.873748            1.315112             1        0.277717            
0.965002             -3.964278            1        0.987629            
3.803594             2.419197             1        0.209247            
-0.133593            -3.794903            1        39.646874           
-1.522019            -2.011073            1        0.21965             
0.29598              -4.289024            1        0.281041            
0.89664              3.874033             1        0.642938            
-4.115162            0.160128             1        12.261438           
1.185897             -1.856975            1        0.911276            
-2.575798            0.098423             1        0.282904            
-1.914604            -1.694723            1        8.83794             
1.403374             -4.086623            1        0.310096            
-4.603634            -2.477213            1        1.218387            
0.833626             1.032967             1        0.905978            
1.728774             4.500817             1        0.94941             
4.910338             0.224089             1        0.487446            
0.132912             -0.408473            1        1.309915            
-3.988366            -3.311938            1        1.429877            
-3.054835            -4.018639            1        58.410425           
-4.029839            2.952113             1        2.116261            
1.61286              -3.568925            1        1.116942            
0.125236             -1.706677            1        0.742441            
-4.900387            0.843602             1        0.719329            
4.973855             -4.491203            1        0.871943            
3.775951             -4.973577            1        0.333084            
-1.501247            2.43736              1        32.465575           
0.131399             0.689255             1        1.25546             
4.812928             -1.977416            1        1.154439            
-4.521682            -4.285097            1        1.088407            
0.143951             2.696991             1        2.099787            
0.136106             -3.611447            1        1.460645            
1.940942             -4.932336            1        1.71706             
0.310302             4.537787             1        37.309774           
-3.292815            4.134922             1        0.95772             
-1.870187            2.440217             1        23.03812            
-3.01788             -3.965382            1        0.287225            
-3.135952            -4.551181            1        1.66798             
-0.727793            -2.308387            1        0.862908            
4.120354             -0.225286            1        1.938326            
-3.299048            -1.009061            1        2.19305             
0.668741             4.978256             1        1.617378            
-3.393634            -3.237351            1        1.532522            
-4.328729            2.906523             1        17.712021           
2.501626             -4.416697            1        0.214387            
