number_truck 1
number_drone 1
Customers 10
Coordinate X	Coordinate Y	Demand
3743.007144637955	-5009.275522462778	0.5322860484590978
6980.5775493611445	-4489.410845993056	24.73618368792729
2493.8233061166425	-7785.0878759983025	0.21967587274140646
-122.23283145985745	-2819.253739799051	0.5166462180032019
-6320.614413064682	-7140.044049629824	8.09227928014214
-2982.6030744846607	4237.778676137429	0.582249097386919
-5843.128867044805	-1890.8468245877339	0.32361355828941135
-5519.194096451929	6272.267842186253	0.45365710867237347
-1717.6507469019675	5188.634539505549	0.4060545508062778
5302.062839960972	-4790.906473425965	0.4659934293517964
